Strand-0001	Domain-02-01-04	c.Domain-02-01-03	c.Domain-03-01-03	Domain-03-01-04		
Strand-0003	Domain-02-01-08	c.Domain-02-01-07	c.Domain-03-01-07	Domain-03-01-08		
Strand-0006	Domain-04-01-04	c.Domain-04-01-03	c.Domain-05-01-03	Domain-05-01-04		
Strand-0007	Domain-04-01-06	c.Domain-04-01-05	c.Domain-03-01-05	Domain-03-01-06		
Strand-0008	Domain-04-01-08	c.Domain-04-01-07	c.Domain-05-01-07	Domain-05-01-08		
Strand-0011	Domain-06-01-04	c.Domain-06-01-03	c.Domain-07-01-03	Domain-07-01-04		
Strand-0012	Domain-06-01-06	c.Domain-06-01-05	c.Domain-05-01-05	Domain-05-01-06		
Strand-0013	Domain-06-01-08	c.Domain-06-01-07	c.Domain-07-01-07	Domain-07-01-08		
Strand-0016	Domain-08-01-04	c.Domain-08-01-03	c.Domain-09-01-03	Domain-09-01-04		
Strand-0017	Domain-08-01-06	c.Domain-08-01-05	c.Domain-07-01-05	Domain-07-01-06		
Strand-0018	Domain-08-01-08	c.Domain-08-01-07	c.Domain-09-01-07	Domain-09-01-08		
Strand-0023	Domain-09-02-02	c.Domain-09-02-01	c.Domain-08-02-01	Domain-08-02-02		
Strand-0025	Domain-09-02-06	c.Domain-09-02-05	c.Domain-08-02-05	Domain-08-02-06		
Strand-0027	Domain-09-02-10	c.Domain-09-02-09	c.Domain-08-02-09	Domain-08-02-10		
Strand-0028	Domain-07-02-02	c.Domain-07-02-01	c.Domain-06-02-01	Domain-06-02-02		
Strand-0029	Domain-07-02-04	c.Domain-07-02-03	c.Domain-08-02-03	Domain-08-02-04		
Strand-0030	Domain-07-02-06	c.Domain-07-02-05	c.Domain-06-02-05	Domain-06-02-06		
Strand-0031	Domain-07-02-08	c.Domain-07-02-07	c.Domain-08-02-07	Domain-08-02-08		
Strand-0032	Domain-07-02-10	c.Domain-07-02-09	c.Domain-06-02-09	Domain-06-02-10		
Strand-0033	Domain-05-02-02	c.Domain-05-02-01	c.Domain-04-02-01	Domain-04-02-02		
Strand-0034	Domain-05-02-04	c.Domain-05-02-03	c.Domain-06-02-03	Domain-06-02-04		
Strand-0035	Domain-05-02-06	c.Domain-05-02-05	c.Domain-04-02-05	Domain-04-02-06		
Strand-0036	Domain-05-02-08	c.Domain-05-02-07	c.Domain-06-02-07	Domain-06-02-08		
Strand-0037	Domain-05-02-10	c.Domain-05-02-09	c.Domain-04-02-09	Domain-04-02-10		
Strand-0038	Domain-03-02-02	c.Domain-03-02-01	c.Domain-02-02-01	Domain-02-02-02		
Strand-0039	Domain-03-02-04	c.Domain-03-02-03	c.Domain-04-02-03	Domain-04-02-04		
Strand-0040	Domain-03-02-06	c.Domain-03-02-05	c.Domain-02-02-05	Domain-02-02-06		
Strand-0041	Domain-03-02-08	c.Domain-03-02-07	c.Domain-04-02-07	Domain-04-02-08		
Strand-0042	Domain-03-02-10	c.Domain-03-02-09	c.Domain-02-02-09	Domain-02-02-10		
Strand-0046	Domain-02-03-04	c.Domain-02-03-03	c.Domain-03-03-03	Domain-03-03-04		
Strand-0048	Domain-02-03-08	c.Domain-02-03-07	c.Domain-03-03-07	Domain-03-03-08		
Strand-0049	Domain-02-03-10	c.Domain-02-03-09	c.Domain-01-03-09	Domain-01-03-10		
