// Oligomer domains file for 512 8-base-pair duplexes example.
Duplex-1-Top	Domain-1
Duplex-1-Bottom	c.Domain-1
Duplex-2-Top	Domain-2
Duplex-2-Bottom	c.Domain-2
Duplex-3-Top	Domain-3
Duplex-3-Bottom	c.Domain-3
Duplex-4-Top	Domain-4
Duplex-4-Bottom	c.Domain-4
Duplex-5-Top	Domain-5
Duplex-5-Bottom	c.Domain-5
Duplex-6-Top	Domain-6
Duplex-6-Bottom	c.Domain-6
Duplex-7-Top	Domain-7
Duplex-7-Bottom	c.Domain-7
Duplex-8-Top	Domain-8
Duplex-8-Bottom	c.Domain-8
Duplex-9-Top	Domain-9
Duplex-9-Bottom	c.Domain-9
Duplex-10-Top	Domain-10
Duplex-10-Bottom	c.Domain-10
Duplex-11-Top	Domain-11
Duplex-11-Bottom	c.Domain-11
Duplex-12-Top	Domain-12
Duplex-12-Bottom	c.Domain-12
Duplex-13-Top	Domain-13
Duplex-13-Bottom	c.Domain-13
Duplex-14-Top	Domain-14
Duplex-14-Bottom	c.Domain-14
Duplex-15-Top	Domain-15
Duplex-15-Bottom	c.Domain-15
Duplex-16-Top	Domain-16
Duplex-16-Bottom	c.Domain-16
Duplex-17-Top	Domain-17
Duplex-17-Bottom	c.Domain-17
Duplex-18-Top	Domain-18
Duplex-18-Bottom	c.Domain-18
Duplex-19-Top	Domain-19
Duplex-19-Bottom	c.Domain-19
Duplex-20-Top	Domain-20
Duplex-20-Bottom	c.Domain-20
Duplex-21-Top	Domain-21
Duplex-21-Bottom	c.Domain-21
Duplex-22-Top	Domain-22
Duplex-22-Bottom	c.Domain-22
Duplex-23-Top	Domain-23
Duplex-23-Bottom	c.Domain-23
Duplex-24-Top	Domain-24
Duplex-24-Bottom	c.Domain-24
Duplex-25-Top	Domain-25
Duplex-25-Bottom	c.Domain-25
Duplex-26-Top	Domain-26
Duplex-26-Bottom	c.Domain-26
Duplex-27-Top	Domain-27
Duplex-27-Bottom	c.Domain-27
Duplex-28-Top	Domain-28
Duplex-28-Bottom	c.Domain-28
Duplex-29-Top	Domain-29
Duplex-29-Bottom	c.Domain-29
Duplex-30-Top	Domain-30
Duplex-30-Bottom	c.Domain-30
Duplex-31-Top	Domain-31
Duplex-31-Bottom	c.Domain-31
Duplex-32-Top	Domain-32
Duplex-32-Bottom	c.Domain-32
Duplex-33-Top	Domain-33
Duplex-33-Bottom	c.Domain-33
Duplex-34-Top	Domain-34
Duplex-34-Bottom	c.Domain-34
Duplex-35-Top	Domain-35
Duplex-35-Bottom	c.Domain-35
Duplex-36-Top	Domain-36
Duplex-36-Bottom	c.Domain-36
Duplex-37-Top	Domain-37
Duplex-37-Bottom	c.Domain-37
Duplex-38-Top	Domain-38
Duplex-38-Bottom	c.Domain-38
Duplex-39-Top	Domain-39
Duplex-39-Bottom	c.Domain-39
Duplex-40-Top	Domain-40
Duplex-40-Bottom	c.Domain-40
Duplex-41-Top	Domain-41
Duplex-41-Bottom	c.Domain-41
Duplex-42-Top	Domain-42
Duplex-42-Bottom	c.Domain-42
Duplex-43-Top	Domain-43
Duplex-43-Bottom	c.Domain-43
Duplex-44-Top	Domain-44
Duplex-44-Bottom	c.Domain-44
Duplex-45-Top	Domain-45
Duplex-45-Bottom	c.Domain-45
Duplex-46-Top	Domain-46
Duplex-46-Bottom	c.Domain-46
Duplex-47-Top	Domain-47
Duplex-47-Bottom	c.Domain-47
Duplex-48-Top	Domain-48
Duplex-48-Bottom	c.Domain-48
Duplex-49-Top	Domain-49
Duplex-49-Bottom	c.Domain-49
Duplex-50-Top	Domain-50
Duplex-50-Bottom	c.Domain-50
Duplex-51-Top	Domain-51
Duplex-51-Bottom	c.Domain-51
Duplex-52-Top	Domain-52
Duplex-52-Bottom	c.Domain-52
Duplex-53-Top	Domain-53
Duplex-53-Bottom	c.Domain-53
Duplex-54-Top	Domain-54
Duplex-54-Bottom	c.Domain-54
Duplex-55-Top	Domain-55
Duplex-55-Bottom	c.Domain-55
Duplex-56-Top	Domain-56
Duplex-56-Bottom	c.Domain-56
Duplex-57-Top	Domain-57
Duplex-57-Bottom	c.Domain-57
Duplex-58-Top	Domain-58
Duplex-58-Bottom	c.Domain-58
Duplex-59-Top	Domain-59
Duplex-59-Bottom	c.Domain-59
Duplex-60-Top	Domain-60
Duplex-60-Bottom	c.Domain-60
Duplex-61-Top	Domain-61
Duplex-61-Bottom	c.Domain-61
Duplex-62-Top	Domain-62
Duplex-62-Bottom	c.Domain-62
Duplex-63-Top	Domain-63
Duplex-63-Bottom	c.Domain-63
Duplex-64-Top	Domain-64
Duplex-64-Bottom	c.Domain-64
Duplex-65-Top	Domain-65
Duplex-65-Bottom	c.Domain-65
Duplex-66-Top	Domain-66
Duplex-66-Bottom	c.Domain-66
Duplex-67-Top	Domain-67
Duplex-67-Bottom	c.Domain-67
Duplex-68-Top	Domain-68
Duplex-68-Bottom	c.Domain-68
Duplex-69-Top	Domain-69
Duplex-69-Bottom	c.Domain-69
Duplex-70-Top	Domain-70
Duplex-70-Bottom	c.Domain-70
Duplex-71-Top	Domain-71
Duplex-71-Bottom	c.Domain-71
Duplex-72-Top	Domain-72
Duplex-72-Bottom	c.Domain-72
Duplex-73-Top	Domain-73
Duplex-73-Bottom	c.Domain-73
Duplex-74-Top	Domain-74
Duplex-74-Bottom	c.Domain-74
Duplex-75-Top	Domain-75
Duplex-75-Bottom	c.Domain-75
Duplex-76-Top	Domain-76
Duplex-76-Bottom	c.Domain-76
Duplex-77-Top	Domain-77
Duplex-77-Bottom	c.Domain-77
Duplex-78-Top	Domain-78
Duplex-78-Bottom	c.Domain-78
Duplex-79-Top	Domain-79
Duplex-79-Bottom	c.Domain-79
Duplex-80-Top	Domain-80
Duplex-80-Bottom	c.Domain-80
Duplex-81-Top	Domain-81
Duplex-81-Bottom	c.Domain-81
Duplex-82-Top	Domain-82
Duplex-82-Bottom	c.Domain-82
Duplex-83-Top	Domain-83
Duplex-83-Bottom	c.Domain-83
Duplex-84-Top	Domain-84
Duplex-84-Bottom	c.Domain-84
Duplex-85-Top	Domain-85
Duplex-85-Bottom	c.Domain-85
Duplex-86-Top	Domain-86
Duplex-86-Bottom	c.Domain-86
Duplex-87-Top	Domain-87
Duplex-87-Bottom	c.Domain-87
Duplex-88-Top	Domain-88
Duplex-88-Bottom	c.Domain-88
Duplex-89-Top	Domain-89
Duplex-89-Bottom	c.Domain-89
Duplex-90-Top	Domain-90
Duplex-90-Bottom	c.Domain-90
Duplex-91-Top	Domain-91
Duplex-91-Bottom	c.Domain-91
Duplex-92-Top	Domain-92
Duplex-92-Bottom	c.Domain-92
Duplex-93-Top	Domain-93
Duplex-93-Bottom	c.Domain-93
Duplex-94-Top	Domain-94
Duplex-94-Bottom	c.Domain-94
Duplex-95-Top	Domain-95
Duplex-95-Bottom	c.Domain-95
Duplex-96-Top	Domain-96
Duplex-96-Bottom	c.Domain-96
Duplex-97-Top	Domain-97
Duplex-97-Bottom	c.Domain-97
Duplex-98-Top	Domain-98
Duplex-98-Bottom	c.Domain-98
Duplex-99-Top	Domain-99
Duplex-99-Bottom	c.Domain-99
Duplex-100-Top	Domain-100
Duplex-100-Bottom	c.Domain-100
