Generation Number,Lineage 0 (Wx - fitness points),Lineage 1 (Wx - fitness points),Lineage 2 (Wx - fitness points),Lineage 3 (Wx - fitness points),Lineage 4 (Wx - fitness points),Lineage 5 (Wx - fitness points),Lineage 6 (Wx - fitness points),Lineage 7 (Wx - fitness points)
1,133333483889151255300000000,11111137901284548030000000,11111113445816487100000000,22222237000038370750000000,11111129333464791980000000,140333487300470000000,151778296795140000000,8555586617420000000
2,133333483889151241010000000,11111137901284535940000000,11111113445816487100000000,22222237000038346000000000,11111129333464654920000000,140333487300980000000,151778296781540000000,8555586616100000000
3,133333483889151229140000000,11111137901284423560000000,11111113445816473680000000,22222237000038345670000000,11111129333464654920000000,140333487300000000000,151778296781540000000,8555586614820000000
4,133333483889151229140000000,11111137901284423560000000,11111113445815362440000000,22222237000037234490000000,11111129333464643900000000,140333487300000000000,151778296780550000000,8555586614820000000
5,133333483889151229140000000,11111137901284423560000000,11111113445815362440000000,22222237000037233600000000,11111129333464632800000000,140333487300000000000,151778296780550000000,8555586601410000000
6,133333483889151229230000000,11111137901284423560000000,11111113445815360060000000,22222237000037233600000000,11111129333464633670000000,140333487300000000000,151778296780280000000,8555586589320000000
7,133333483889151106000000000,11111137901272203430000000,11111113445815360060000000,22222237000037232520000000,11111129333464621420000000,140333487176550000000,151778296771380000000,8555586589320000000
8,133333483889151106000000000,11111137901272203430000000,11111113445815359870000000,22222237000037231720000000,11111129333464620920000000,140333487066730000000,151778296769730000000,8555586589320000000
9,133333483889151106000000000,11111137901272191050000000,11111113445815359870000000,22222237000037229140000000,11111129333464620920000000,140333487066730000000,151778296769730000000,8555586578640000000
10,133333483889151105940000000,11111137901272191050000000,11111113445815345040000000,22222237000037229140000000,11111129333464510760000000,140333487066730000000,151778296769730000000,8555586578740000000
11,133333483889151103590000000,11111137901272191050000000,11111113445815345040000000,22222237000037229140000000,11111129333464496840000000,140333487066730000000,151778296769730000000,8555586563970000000
12,133333483889151103590000000,11111137901272188690000000,11111113444580766390000000,22222237000037229140000000,11111129333464495630000000,140333487067870000000,151778296769720000000,8555586552520000000
13,133333483889151101440000000,11111137901272051730000000,11111113444580766390000000,22222237000037215550000000,11111129333464495410000000,140333486944280000000,151778296769540000000,8555586552320000000
14,133333483889151100180000000,11111137901271926030000000,11111113444580752000000000,22222237000037092810000000,11111129333340790870000000,140333486944280000000,151778296646400000000,8555586541100000000
15,133333483889151100180000000,11111137901271925910000000,11111113444580750840000000,22222237000037092810000000,11111129333340790870000000,140222375835740000000,151778296646190000000,8555586541100000000
16,133333483889151099280000000,11111137901271926300000000,11111113444580739430000000,22222237000037092810000000,11111129333340790870000000,140222375813610000000,151778296658470000000,8555586541100000000
17,133333483889151099280000000,11111137901271922010000000,11111113444580738250000000,22222237000037077890000000,11111129333340696600000000,140222375812270000000,151778295555340000000,8444475431240000000
18,133333483889151077120000000,11111137901271920880000000,11111113444580736320000000,22222237000037077890000000,11111129333340696410000000,140222375814320000000,151778295520440000000,8444475440230000000
19,133333483889151077120000000,11111137901271918510000000,11111113444580722850000000,22222235888925966730000000,11111129333340585410000000,140222375799890000000,151778295519330000000,8444474206760000000
20,133333483889151063820000000,11111137901271908610000000,11111113444580697480000000,22222235777814855600000000,11111129333340585410000000,140222375799590000000,151778295520830000000,8444474209860000000
21,133333483889149853600000000,11111137901271908610000000,11111113444580697480000000,22222235777814855600000000,11111129333340574210000000,140222375787290000000,151778295397640000000,8444474197710000000
22,133333483889148621870000000,11111137901271908610000000,11111113444580695950000000,22222235777814843070000000,11111129333340575620000000,140222375789750000000,151778295274340000000,8444474197710000000
23,133333483889148604310000000,11111137901271907490000000,11111113444580694750000000,22222235777814842870000000,11111129333340553380000000,140222375667150000000,151778295273950000000,8444474073520000000
24,133333483889148618150000000,11111137901271907490000000,11111113444580695110000000,22222235777814842870000000,11111129333340550960000000,140222375667150000000,151778295276330000000,8444474063700000000
25,133333483889148482590000000,11111137901271907490000000,11111113444580683070000000,22222235777814842840000000,11111129333340548540000000,140222375643580000000,151778171694860000000,8444474063700000000
26,133333483889148482590000000,11111137901271906330000000,11111113444580681870000000,22222235777814843940000000,11111129333340537480000000,140222375643310000000,151778171672900000000,8444474063700000000
27,133333483889148480770000000,11111137901271893850000000,11111113444580667800000000,22222235777814842600000000,11111129333340537480000000,140222375631080000000,151778171661700000000,8444474062240000000
28,133333483889026234930000000,11111137901271894880000000,11111113444581915620000000,22222235777814842600000000,11111129333340536210000000,140222375631080000000,151778171661700000000,8444474063410000000
29,133333483889026234930000000,11111137901271893440000000,11111113444580544210000000,22222235777814842600000000,11111129333340536210000000,140222375631080000000,151778171661700000000,8444474051720000000
30,133333483889026238030000000,11111137901270782880000000,11111113444580544210000000,22222235777814825720000000,11111129333340413140000000,140222375621290000000,151778171649720000000,8444474050750000000
31,133333483889026127370000000,11111137901270782880000000,11111113444580424260000000,22222235777814825720000000,11111129333340409540000000,140222375621290000000,151778171648180000000,8444474050070000000
32,133333483889026005230000000,11111137901270781750000000,11111113444579190870000000,22222235777814814740000000,11111129333340410550000000,140222375620990000000,151778171648180000000,8444474035380000000
33,133333483889026005230000000,11111137901270781410000000,11111113444579189760000000,22222235777814814470000000,11111129333340283810000000,140222375619990000000,151778171648140000000,8444474035380000000
34,133333483889026004780000000,11111137901270781410000000,11111113444579199710000000,22222235777814815670000000,11111129333340283810000000,140222375607800000000,151778171528250000000,8444474035180000000
35,133333483889026004780000000,11111137901270657150000000,11111113444579086330000000,22222235777814691240000000,11111129333340271620000000,140222375606190000000,151778171528250000000,8444474034280000000
36,133333483889026002300000000,11111137901270655820000000,11111113444579086330000000,22222235777813457840000000,11111129333340271270000000,140222375606190000000,151778171528250000000,8444474033100000000
37,133333483889026000470000000,11111137901270655820000000,11111113444579086330000000,22222235777813456730000000,11111129333340271270000000,140222375606190000000,151778048082760000000,8444474032000000000
38,133333483889026000530000000,11111137901270655820000000,11111113444579086330000000,22222235777813343310000000,11111129333340271270000000,140222375606090000000,151778048192630000000,8444474041530000000
39,133333483889025999420000000,11111137901269543620000000,11111113444579080470000000,22222235777813343310000000,11111129333340247440000000,140222375581600000000,151778048068830000000,8444474020620000000
40,133333483889025986890000000,11111137901269543320000000,11111113444579081710000000,22222235777813343310000000,11111129333340243880000000,140222375581600000000,151778048055180000000,8444474019330000000
41,133333483889024741380000000,11111137901269433530000000,11111113444579068150000000,22222235777813341900000000,11111129333340243880000000,140222375580740000000,151778048045070000000,8444474016820000000
42,133333483889024740370000000,11111137901269433650000000,11111113444578945640000000,22222235777813341900000000,11111129333340243880000000,140222375580790000000,151778048026220000000,8444474015530000000
43,133333483889024726750000000,11111137901269420900000000,11111113444578945640000000,22222235777813217590000000,11111129333340230130000000,140222375579590000000,151778048026220000000,8444461669700000000
44,133333483889024726750000000,11111137901269422320000000,11111113444578945710000000,22222235777813214860000000,11111129333340230220000000,140222375580870000000,151778048026220000000,8444461667090000000
45,133333483889024726750000000,11111137901269411490000000,11111113444578933510000000,22222235777813214860000000,11111129333340230010000000,140222375567100000000,151777937039850000000,8444461667090000000
46,133333483889024714230000000,11111137901269411490000000,11111113444578933510000000,22222235777813212760000000,11111129333340231420000000,140222375555080000000,151777937039850000000,8444460433640000000
