Generation Number,Lineage 0 (deltaWx - fitness points),Lineage 1 (deltaWx - fitness points),Lineage 2 (deltaWx - fitness points),Lineage 3 (deltaWx - fitness points),Lineage 4 (deltaWx - fitness points),Lineage 5 (deltaWx - fitness points),Lineage 6 (deltaWx - fitness points),Lineage 7 (deltaWx - fitness points)
1,24691358024691365432098765432099506172839506172913580246913580254320987654320988395061728395061802469135802469143209876543209901975309135802474148148197530864698765437037037087160494320987659333333382716049883950622222222272345679506172844518518555192000000,61482000000,1843200000,32073200000,6724600000,4613200000,2498809800000,57226400000
2,493827162962963012345679259259264197530888888889382716051851851901234568148148153086419777782716543259261728888938276543456839511111604987661728891407412346419827659260002543217326486800000,54459800000,1594200000,29417800000,6724600000,4351800000,2498574000000,6430600000
4,25210128397785741261758570724088757327547245375065400000,54459800000,1336800000,4207800000,1688200000,1756200000,2496072200000,6151800000
8,246938767929220820885223533302847600000,26956800000,1074600000,1654200000,1663200000,1528600000,2495811800000,1338800000
16,247550226832241800000,2196800000,838000000,1188600000,955400000,1258400000,2495479400000,750200000
32,283420992600000,1276600000,602800000,878600000,26012400000,619600000,733800000,460200000
64,2965600000,766200000,473200000,703600000,521000000,444000000,429800000,252000000
128,682600000,323800000,238600000,270200000,322600000,306200000,312800000,157000000
256,293400000,202200000,125800000,173400000,142000000,245400000,214800000,108600000
512,143800000,141800000,83000000,115200000,122200000,155800000,172400000,71000000
1024,50800000,97200000,45400000,43000000,67400000,89800000,102600000,36400000
2048,16200000,67800000,27400000,27000000,45800000,56400000,60400000,10800000
4096,7400000,37400000,12800000,11000000,33200000,33400000,27400000,800000
8192,2200000,28400000,4600000,8200000,19600000,18600000,14600000,0
16384,0,15800000,1400000,1600000,10200000,6800000,3000000,0
32768,0,9200000,400000,200000,1600000,2000000,1200000,0
65536,0,5600000,0,0,800000,0,200000,0
131072,0,3600000,0,0,0,0,0,0
