Strand-1	Domain-02-01-04	c.Domain-02-01-03	c.Domain-03-01-03	Domain-03-01-04		
Strand-3	Domain-02-01-08	c.Domain-02-01-07	c.Domain-03-01-07	Domain-03-01-08		
Strand-6	Domain-04-01-04	c.Domain-04-01-03	c.Domain-05-01-03	Domain-05-01-04		
Strand-7	Domain-04-01-06	c.Domain-04-01-05	c.Domain-03-01-05	Domain-03-01-06		
Strand-8	Domain-04-01-08	c.Domain-04-01-07	c.Domain-05-01-07	Domain-05-01-08		
Strand-11	Domain-06-01-04	c.Domain-06-01-03	c.Domain-07-01-03	Domain-07-01-04		
Strand-12	Domain-06-01-06	c.Domain-06-01-05	c.Domain-05-01-05	Domain-05-01-06		
Strand-13	Domain-06-01-08	c.Domain-06-01-07	c.Domain-07-01-07	Domain-07-01-08		
Strand-16	Domain-08-01-04	c.Domain-08-01-03	c.Domain-09-01-03	Domain-09-01-04		
Strand-17	Domain-08-01-06	c.Domain-08-01-05	c.Domain-07-01-05	Domain-07-01-06		
Strand-18	Domain-08-01-08	c.Domain-08-01-07	c.Domain-09-01-07	Domain-09-01-08		
Strand-23	Domain-09-02-02	c.Domain-09-02-01	c.Domain-08-02-01	Domain-08-02-02		
Strand-25	Domain-09-02-06	c.Domain-09-02-05	c.Domain-08-02-05	Domain-08-02-06		
Strand-27	Domain-09-02-10	c.Domain-09-02-09	c.Domain-08-02-09	Domain-08-02-10		
Strand-28	Domain-07-02-02	c.Domain-07-02-01	c.Domain-06-02-01	Domain-06-02-02		
Strand-29	Domain-07-02-04	c.Domain-07-02-03	c.Domain-08-02-03	Domain-08-02-04		
Strand-30	Domain-07-02-06	c.Domain-07-02-05	c.Domain-06-02-05	Domain-06-02-06		
Strand-31	Domain-07-02-08	c.Domain-07-02-07	c.Domain-08-02-07	Domain-08-02-08		
Strand-32	Domain-07-02-10	c.Domain-07-02-09	c.Domain-06-02-09	Domain-06-02-10		
Strand-33	Domain-05-02-02	c.Domain-05-02-01	c.Domain-04-02-01	Domain-04-02-02		
Strand-34	Domain-05-02-04	c.Domain-05-02-03	c.Domain-06-02-03	Domain-06-02-04		
Strand-35	Domain-05-02-06	c.Domain-05-02-05	c.Domain-04-02-05	Domain-04-02-06		
Strand-36	Domain-05-02-08	c.Domain-05-02-07	c.Domain-06-02-07	Domain-06-02-08		
