Generation Number,Lineage 0 (Wx - fitness points),Lineage 1 (Wx - fitness points),Lineage 2 (Wx - fitness points),Lineage 3 (Wx - fitness points),Lineage 4 (Wx - fitness points),Lineage 5 (Wx - fitness points),Lineage 6 (Wx - fitness points),Lineage 7 (Wx - fitness points)
1,11112349666706736993557210,155555575000152856199292810,11111237777802564758406210,1233333350333363450824796910,11111246333490687379473410,5777821805761003610,29333345560590801010,3333506744908863110
2,11112349666705492609853310,155555575000152855614158810,11111237777802430276748610,1233333350333363450824796910,11111246333490687379473410,5777821805761003610,29333345559251386010,3333506744600665210
3,11112349666705491491888410,155555575000152854217340910,11111237777802430022861710,1233333350333363448501236110,11111246333490687379473410,5777821804215710610,29333345559251386010,3333506732242252510
4,11112349666704269045380710,155555575000152829247451010,11111237777802430022861710,1233333350333363446611615110,11111246333490685983974610,5777821801542472510,29333345546973405210,3333506722944590110
5,11112349666704269045380710,155555575000152829247451010,11111237777802430022861710,1233333350333363446611615110,11111246333490684424567510,5777821801542472510,29333345546453396010,3333506722944590110
6,11112349666704147504784610,155555575000152814937644610,11111237777802431430761610,1233333350333363321836834810,11111246333490684424567510,5777821576447613210,29333345545843279010,3333506722944590110
7,11112349666704146848773510,155555575000152814908549410,11111237777802294883626210,1233333350333362088339776410,11111246333490682987593710,5777821565905535210,29333345545843279010,3333506597951948910
8,11112349666704146848773510,155555575000152814908549410,11111237777802294418903110,1233333350333362211372326610,11111246333490682276061710,5777821554674202010,29333345423532531710,3333506598923339910
9,11112349666704007217945910,155555575000152814908549410,11111237777802293511654910,1233333350333360974690430210,11111246333490679869158110,5777821554664197510,29333345422385221710,3333506488038329110
10,11112349666704005583017810,155555575000152814908549410,11111237777802160100653110,1233333350333360874728186710,11111246333490679662450610,5777821553114153010,29333345422385221710,3333506488038329110
11,11112349666704005546606110,155555575000152802527470810,11111237777802160100653110,1233333350333360874728186710,11111246333490667665883410,5777821428910731210,29333345411530257210,3333506487396299310
12,11112349666703991813691610,155555575000152802527470810,11111237777802156412129210,1233333350333360875031654510,11111246333490667665883410,5777821441029827810,29333345410839156010,3333506464826895310
13,11112349666703991813691610,155555575000152802527470810,11111236555579934621796510,1233333350333360862468594310,11111246333490667306220710,5777820451344919310,29333345396937546410,3333506464826895310
14,11112349666703991813691610,155555575000152805236306210,11111236555579934621796510,1233333350333360862468594310,11111246333490655776027510,4555598226879932110,29333345396937546410,3333506466776528410
15,11112349666703980532546810,155555575000152778945370610,11111236555578698707636610,1233333350333360861922601710,11111246333490654363784110,4555598215795302710,29333345271450995210,3333506334223617610
16,11112349666703980532546810,155555575000152778945370610,11111236555578684245991610,1233333350333360861922601710,11111245111268430793773010,4555598215795302710,29333345271784411910,3333506335225257910
17,11112349666703980325193510,155555575000152766817105310,11111236555578684230534710,1233333350333360860869535710,11111245111268430753485810,4555598203550141810,29333345261005660810,3333506331488526410
18,11112349666703980325193510,155555575000152766817105310,11111236555578672790649710,1233333350333360859820845210,11111245111268431083370710,4555598203550141810,29333345249919417510,3333506332926657110
19,11112349666703980325193510,155555575000152765839791610,11111236555578672790649710,1233333350333360857758802810,11111245111268429508940710,4555598203550141810,29333345249919417510,3333506207525026310
20,11112349666703968187717810,155555575000152755269184310,11111236555578672790649710,1233333350333360847531495010,11111245111268309759017010,4555598202304089810,29333345249919417510,3333506207639321010
21,11112349666703842489497810,155555573889041657016782710,11111236555578659140541410,1233333350333360836861930010,11111245111268307305279210,4555598186239339410,29333345116779231710,3333493998839616710
22,11112349666703842708951110,155555573889041657016782710,11111236555578659479092710,1233333350333360822555124610,11111245111268294844821210,4555598172350030410,29333345116779231710,3333493886609179510
23,11112349666703839968353810,155555573889041644082122710,11111236555578536520425810,1233333350333360822208309710,11111245111268294646818310,4555598172350030410,29333345116779231710,3333493886609179510
24,11112349666703838958988110,155555573889041644082122710,11111236555578536520425810,1233333350333360821693233910,11111245111268282376214210,4555598172350030410,29333345105568178410,3333493886609179510
25,11112349666703838958988110,155555573889041644082122710,11111236555578536520425810,1233333350333360821693233910,11111245111267040051056810,4555598048473186110,29333345105407180310,3333493886609179510
26,11112349666703835902960210,155555573889041640721999010,11111236555578535404454810,1233333350333360811162587710,11111245111267027312932210,4555598047517985210,29333345104492304610,3333493886609179510
27,11112349666703823068227210,155555573889041640721999010,11111236555578535404454810,1233333350333360811162587710,11111245111267027312932210,4555597925660297810,29333345078760244910,3333493886609179510
28,11112349666703810676685310,155555573889041640721999010,11111236555578535404454810,1233333350333360811089179110,11111245111267016284043610,4555597925635176310,29333345066641794210,3333493886609179510
29,11112349666703810620572710,155555573889040406839426210,11111236555578522786961010,1233333350333360782849905210,11111245111267015638349510,4555597925635176310,29333345066403086210,3333493873941782910
30,11112349666703810620572710,155555573889040408585798110,11111236555578511547964410,1233333350333360671122705810,11111245111266890569596610,4555597925635176310,29333345066403086210,3333493862807238510
31,11112349666703799598170410,155555573889040395400872010,11111236555578511547964410,1233333350333360659601496810,11111245111266865066069210,4555597803740934710,29333345066186790110,3333493862807238510
32,11112349666703798742982110,155555573889040397119113710,11111236555578509990707210,1233333350333360659601496810,11111245111266851544138310,4555597801704360910,29333345066186790110,3333493862807238510
33,11112349666703786370345810,155555573889040387447834510,11111236444467398971401610,1233333350333360659601496810,11111245111266840304229310,4555597801704360910,29333345065153845110,3333493850032929110
34,11112349666703775337847710,155555573889040385791105710,11111236444467400119526610,1233333350333360659601496810,11111245111266825219552510,4555597810704234710,29333345054949534910,3333493835303582710
35,11112349666703775337847710,155555573889040383579033710,11111236444467391194720410,1233333350333360636041197310,11111245111266825219552510,4555596576173120710,29333345053604462610,3333493835303582710
36,11112349666703773588808410,155555573889040396089191910,11111236444467391194720410,1233333338000027304721607310,11111245111266814757536010,4555596551575914010,29333345053604462610,3333493823006897510
37,11112349666703772359328610,155555573889040382823661410,11111236444466159237213410,1233333338000027304721607310,11111245111266813843771110,4555596551575914010,29333343808533033010,3333493822843639410
38,11112349666703771476052810,155555573889040382823661410,11111236444466159237213410,1233333338000027292757828510,11111245111266813843771110,4555596549597669110,29333343806904404310,3333493822843639410
39,11112349666691425433671810,155555573889040271140699310,11111236444466159237213410,1233333338000027291818181310,11111245111266813843771110,4555596549597669110,29333343806904404310,3333493822843639410
40,11112349666691412094853510,155555573889040159831006310,11111236444466159237213410,1233333338000027292179027610,11111245111266804086958910,4555596549597669110,29333343806904404310,3333493822843639410
41,11112349666691411609329710,155555573889040158504076710,11111236444466159237213410,1233333338000027288825559210,11111245111266804068098910,4555596549021781310,29333343805533379310,3333493822843639410
42,11112349666691409178162510,155555573889040156866698210,11111236444466147101327410,1233333338000027288825559210,11111245111266802756120810,4555596547479113510,29333343805533379310,3333493822843639410
43,11112349666691408288111010,155555573889040144601158510,11111236444466145813709810,1233333338000027287586433910,11111245111266802756120810,4555596547479113510,29333342558695050810,3333493810894647510
44,11112349666691406860037210,155555573889040144601158510,11111113000021700398008210,1233333338000027288874124010,11111245111266790974965810,4555596547479113510,29333342558695050810,3333493810894647510
45,11112349666691406860037210,155555573889040134643489610,11111113000021700398008210,1233333338000027164646201010,11111245111266778741390010,4555596535712543410,29333342558428188310,3333493810894647510
46,11112349666691390784193010,155555573889040133177108510,11111113000021700398008210,1233333338000027164781836710,11111243889044557544125210,4555596525190491710,29333342436348209110,3333493810894647510
47,11112349666691390784193010,155555573889040133177108510,11111113000021700398008210,1233333338000027161540838810,11111243889044557544125210,4555596525190491710,29333342434172012510,3333493810894647510
48,11112349666691390455132210,155555573889040133177108510,11111113000021689117053810,1233333338000027150271641810,11111243889044557544125210,4555596525190491710,29333342434172012510,3333493809282539810
49,11112349666691390455132210,155555573889040133177108510,11111113000021689117053810,1233333338000027015759623710,11111243889044557544125210,4555596499192298610,29333342312936073910,3333493797570920810
50,11112349666691379621590810,155555573889040133102302910,11111113000021565431232110,1233333338000027002170031710,11111243777933446522626710,4555596492082399610,17000008978444046310,3333493797331860810
51,11112349666691379613149610,155555573889040019574092510,11111113000021565431232110,1233333338000026878704560410,11111243777933445024584110,4555596492082399610,17000008978444046310,3333493797331860810
52,11112349666691379613149610,155555573889040022727159910,11111113000021553085852110,1233333338000026877166057710,11111132666822454627917110,4555596504350263410,17000008977530723110,3333493797331860810
53,11112349666679159380492610,155555573889040010148527910,11111113000021553085852110,1233333338000026877166057710,11111132666822454627917110,4555596489652576410,17000008977530723110,3333493785300222710
54,11112349666677915832806610,155555573889040010148527910,11111113000021441811466510,1233333338000026865665133810,11111132666822426724298810,4555596489652576410,17000008976348265710,3333493784101291010
55,11112348444468038199995910,155555573889039900299723410,11111113000021441097789210,1233333338000026862908638710,11111132666822425813848110,4555596477498323110,17000008852272651110,3333493769713648610
56,11112348444468048629940210,155555573889039900299723410,11111113000021317502161810,1233333338000026862908638710,11111132666822427918759810,4555596362756695310,17000008839935098110,3333493769713648610
57,11112348444468033947654110,155555573889039888239348710,11111113000021317379881910,1233333338000026851784293410,11111132666822417331102310,4555596362756695310,17000008839935098110,3333493768425118110
58,11112348444468033947654110,155555573889039888239348710,11111113000021316399731910,1233333338000026851784293410,11111132666822418458287310,4555596362756695310,17000008839573795610,3333493768425118110
59,11112348444466922867015710,155555573889039765931404710,11111113000021315044470010,1233333338000026836760206110,11111132666822405855844910,4555596348924801910,17000007594335225610,3333493767115594210
60,11112348444466921486039910,155555573889039756075261410,11111113000021314577358910,1233333338000026827158827110,11111132666822395520566810,4555595237777860010,17000007594335225610,3333493767951772310
61,11112348444466919549267110,155555573889039755334626210,11111113000021314577358910,1233333338000026827158827110,11111132666822393189337710,4555595237777860010,17000007592942097010,3333493755671420310
62,11112348444466907339086610,155555573889039752693472510,11111113000021314577358910,1233333338000026825851980210,11111132666698923869943810,4555595237777860010,17000007579804731010,3333492522559608910
63,11112348444466907339086610,155555573889039752693472510,11111113000021314577358910,1233333338000026825851980210,11111132666698923869943810,4555595225792473010,17000007567194983010,3333492510007632410
64,11112348444466907339086610,155555573889039750549488610,11111113000021314577358910,1233333338000026825851980210,11111132666698923119315010,4555592880769323010,17000007567194983010,3333492510007632410
65,11112348444465673007447610,155555573889039738487169910,11111113000021314263790910,1233333338000026803712946210,11111132666698923119315010,4555592878098113210,17000007445085664010,3333492510007632410
66,11112348444465672873090510,155555573889039738487169910,11111113000020090656331010,1233333338000026691069109610,11111132666698910412414810,4555592867137316110,17000007445085664010,3333492510326422010
67,11112348444465672873090510,155555573889039738487169910,11111113000020089905821810,1233333338000026691069109610,11111132666698907042992010,4555592865803862610,17000007432268727910,3333492496891215510
68,11112348444465672873090510,155555573889039727451443510,11111113000020085266684510,1233333338000026691264681810,11111132666698893767297210,4555592839649175710,17000007432268727910,3333492384778435610
69,11112348444465670407743510,155555573889038476936214110,11111113000020084959632410,1233333338000026677276814810,11111132666698893767297210,4555592827384180510,17000007429815686410,3333492384778435610
70,11112348444465548316577510,155555573889037265949438410,11111111777797740664359010,1233333338000026677276814810,11111132666698894566704610,4555592826932730810,17000007429782539110,3333492384778435610
71,11112348444465546073142110,155555573889037265949438410,11111111777797740664359010,1233333338000026677055653010,11111131444476687289385410,4555592811710272710,17000007417530257110,3333492371723547710
72,11112348444465546073142110,155555573889037265175270310,11111111777797739652981010,1233333338000026677055653010,11111131444476687289385410,4555592810138048010,17000007417038461810,3333492371723547710
73,11112348444465533803477010,155555573889037265175270310,11111111777796486917710710,1233333338000025440961764810,11111131444476676004465010,4555592807346736410,17000007404493527810,3333492371723547710
74,11112348444465529729704710,155555573889037264854839410,11111111777796487488705310,1233333338000025441401100510,11111131444476676318752510,4555592794656016910,17000007404493527810,3333492358151012610
75,11112348444465529729704710,155555573889037264114993310,11111111777796486440236410,1233333338000025440007661310,11111131444476665766148710,4555592794656016910,17000007293120246610,3333492358151012610
76,11112348444465517580604010,155555573889037263745490110,11111111777796486208679910,1233333338000025433404123310,11111131444476666075547810,4555592682713516210,17000007293024515610,3333492358151012610
77,11112348444465517580604010,155555573889037262350516010,11111111777796486208679910,1233333338000025433404123310,11111131444476663547961410,4555592679097683110,15888896159758813310,3222381271894021510
78,11112348444465515491394610,155555573889037124221415810,11111111777796486208679910,1233333338000025423841949910,11111131444476666021001910,4555592677924385910,15888896135698888310,3222380039771079410
