Generation Number,Lineage 0 (Wx - fitness points),Lineage 1 (Wx - fitness points),Lineage 2 (Wx - fitness points),Lineage 3 (Wx - fitness points),Lineage 4 (Wx - fitness points),Lineage 5 (Wx - fitness points),Lineage 6 (Wx - fitness points),Lineage 7 (Wx - fitness points)
1,22222374777799617740000000,22222350555569897650000000,11111113555727733590000000,11111152000393314670000000,11111128456808953190000000,1244444446777929493300000000,11111154111120231420000000,11111115444862297670000000
2,22222374777799616750000000,22222350555569886680000000,11111113555727733590000000,11111152000393313260000000,11111128456808940070000000,1244444446777929493180000000,11111154111120215300000000,11111115444862297630000000
4,22222374777799605540000000,22222350555569884380000000,11111113555715389150000000,11111152000393300220000000,11111128456807608180000000,1244444446777929480420000000,11111154111120080790000000,11111115444862162420000000
8,22222374777799472030000000,22222350555568653290000000,11111113555715238790000000,11111152000393298900000000,11111128456807604450000000,1244444445666818368910000000,11111154000008957690000000,11111115444848605820000000
16,22222374777799449240000000,22222350555568406240000000,11111113555591547540000000,11111152000393011790000000,11111128456805114790000000,1244444445666818352110000000,11111141666675538950000000,11111115444713048940000000
32,22222374666687891210000000,22222350555567985640000000,11111113555565664440000000,11111152000392394470000000,11111128345691522240000000,1244444445666816969670000000,11111141666675270640000000,11111115444700335260000000
64,22222374666675088730000000,11111116000010764290000000,11111113555563516680000000,40889278912330000000,17123467760960000000,1244444445666692941270000000,11111141666674838410000000,4333586694090000000
128,22222350000006684980000000,11111114777782735820000000,11111113555559973980000000,40667055473680000000,17123465798010000000,1244444445444593549910000000,11111140444462168710000000,4333461271160000000
256,22222348777783819550000000,2333336004920000000,11111113444446655170000000,14555683862930000000,15888894715530000000,1233333334111118422650000000,16666670129850000000,777904353310000000
512,22222235111112275190000000,1000000992770000000,11111113000001213890000000,13222223512240000000,1000003292870000000,1233333333777782623010000000,13666667922850000000,333335555370000000
1024,11111123777778410180000000,333333807860000000,11111111555556058570000000,555556168540000000,444444874270000000,122222222444444952370000000,12444444889840000000,222222699590000000
2048,229770000000,111111367550000000,333333580590000000,111111331530000000,222222473390000000,111111342910000000,204310000000,224860000000
4096,119650000000,129550000000,116710000000,111111229040000000,119740000000,123790000000,115770000000,116890000000
8192,60400000000,60700000000,59640000000,62210000000,61930000000,58040000000,54220000000,59730000000
16384,30600000000,30480000000,29340000000,33610000000,31750000000,31280000000,30260000000,30790000000
