Generation Number,Lineage 0 (Wx - fitness points),Lineage 1 (Wx - fitness points),Lineage 2 (Wx - fitness points),Lineage 3 (Wx - fitness points),Lineage 4 (Wx - fitness points),Lineage 5 (Wx - fitness points),Lineage 6 (Wx - fitness points),Lineage 7 (Wx - fitness points)
1,33003560963523200,9530491191213800,40637490520259000,258715400777960400,63631709556081600,38067824923704200,41241867026750800,67878319318060400
2,33003560963523200,9530491191213800,40637490520259000,36096827216657600,40636619394071800,5093200320919800,41241867026750800,67630896672920400
3,33003560963523200,9525681809112600,40611147504077000,36096827216657600,40609426964974200,5093200320919800,38771777520058200,67609484007526000
4,33003560963523200,9523675931456600,10576177093630400,36092008676681800,35909720397498000,5093200320919800,38773353724725200,67609484007526000
5,33003560963523200,9523675931456600,10576177093630400,35842521044121000,35904742184257200,5066585130353800,38755424565607400,16237229740892800
6,31488145650275600,9523675931456600,10573673662603800,35815960708596200,14123793422272400,5066585130353800,38755424565607400,16237229740892800
7,30957585427374800,9523675931456600,10547166727560800,35815022421250400,14123793422272400,5066585130353800,38755368934589400,15988565261691000
8,30957585427374800,9516781942662200,10570978548960800,35815022421250400,14123793422272400,5265948949968200,38557992957049400,15741805639347200
9,30957585427374800,9516781942662200,10543492390716400,33323405637609600,14123793422272400,5050521921766200,38557992957049400,15719922091104600
10,30957585427374800,9482004233750200,10541421098217400,33323405637609600,14124737190333600,5050521921766200,36787288124794000,15719922091104600
11,30957585427374800,9453918744470600,10541421098217400,33281631336958800,14123194146236200,4834314811766200,36743224691797600,15719922091104600
12,30760426175976800,9453918744470600,10521734674418800,33281631336958800,14123194146236200,4834314811766200,36724270462615200,15477392231656200
13,30760426175976800,9453918744470600,8027468284546600,33281631336958800,14121378599219000,4829019332070000,36672396082760400,15477392231656200
14,30738203209581600,9453918744470600,8052143531574600,33007811951054000,14121378599219000,4829019332070000,36672396082760400,15477392231656200
15,30738203209581600,9435464790487400,8027436547777600,33007811951054000,14121378599219000,4608558068492600,36447109399220200,15476703489815800
16,30738203209581600,9404944290252000,7998272060865600,33007811951054000,14102983650579600,4580073964427000,36172119224608200,15476703489815800
17,30705949425291600,9385385460777000,7998272060865600,33003540304383600,14102983650579600,4576461725987200,36170416958100200,15476703489815800
18,30705487682047800,9132884028364000,7998272060865600,7293830635161600,14085491049053600,4550320034662000,36170416958100200,10922992846792600
19,30685281050080000,9132884028364000,7975685625069800,7293830635161600,14085491049053600,4523288261945800,35927164802910400,10922992846792600
20,30593595691428600,9132884028364000,7975685625069800,7293095005001600,14085491049053600,4523725187557600,35927164802910400,10922992846792600
21,30593595691428600,9103807615785400,7975685625069800,7293095005001600,14085491049053600,4521384499658800,35927164802910400,10920170917478200
22,30588319698951600,7905137998463800,7975685625069800,7293095005001600,14085491049053600,4521384499658800,35924327334442400,10237887206152600
23,30560248364082200,7903330693561600,7972773910931400,7289613512177000,13840911453798600,4521384499658800,35924327334442400,10235582873240800
24,30560248364082200,7624187152760000,7952706933284200,7259789492890200,13840911453798600,4272194882721200,13677422793799800,10235582873240800
25,30560248364082200,7623300360123200,7952706933284200,7259789492890200,13834001913819200,4220554871562000,13677422793799800,10233538853621800
26,30607646763260800,7623300360123200,7703299038841400,6972460488614200,13100251315145400,4214961858067400,13452813534763800,10233538853621800
27,30556099735540400,7623300360123200,7703027129595200,6927758709632200,13100251315145400,4214961858067400,13452813534763800,10233538853621800
28,30553077004007800,7452663678847600,7711083543155200,6875443947117200,12859701286236800,4214961858067400,10632486214545800,10233538853621800
29,30547902404687400,7185716989981200,7681472673979400,6875443947117200,12856125250952800,4192529588063400,10632486214545800,10214910652683400
30,10462110770023200,7185716989981200,7681472673979400,6875443947117200,12856125250952800,4192529588063400,10629872783385800,10214910652683400
31,10460346792135600,6966916944589200,7681472673979400,6872080407641600,12854774077427000,4192529588063400,10628133291315000,10214910652683400
32,10388487384676000,6825142626309200,7681472673979400,6871019573505600,12854774077427000,4192529588063400,8239040692535600,5935118417883000
33,10388487384676000,6825142626309200,7681472673979400,6869010154283200,12854774077427000,4192529588063400,8190954142685800,5935118417883000
34,10388487384676000,6825142626309200,7681472673979400,6869010154283200,12854774077427000,4192529588063400,8188522464702600,5935118417883000
35,10340814554519000,6822494206038400,7676521208455000,6617112587303200,12828321927124200,4187229130187600,8188522464702600,5913870374366600
36,10340814554519000,6822494206038400,7671090266675200,6617112587303200,12583837630430600,4187229130187600,8223567042772000,5915077706371000
37,10340814554519000,6796562307598400,7671007504080600,6617112587303200,12557337186458600,4184969865478800,5749301899950800,5912487594271800
38,10342674930711800,6767199204084400,7671007504080600,6615485695213200,10091235382735000,4184877583606800,5749301899950800,5912487594271800
39,10340456843447200,6750680968119200,7669559928029600,6612612676036800,10091235382735000,4182203328680800,5749301899950800,5912487594271800
40,10340456843447200,6750680968119200,7661075339669800,6612612676036800,10091235382735000,4182203328680800,5749301899950800,5934308381083600
41,10337441262048600,6705895787256600,7661075339669800,6612042458952000,10090609310757400,4182203328680800,5749067089003800,5692895279612800
42,10337441262048600,6691382035747800,7661075339669800,6612042458952000,10066899333389000,4159492261504800,5749067089003800,5692895279612800
43,10337441262048600,6691382035747800,7635021934120600,6603563039224800,10066659090382200,4159248700466200,5729410258554000,5691963930568400
44,10291510278706000,6691382035747800,7629454145721000,6603563039224800,10036504262122200,3917210554235600,5744807281137000,5691963930568400
45,10266558922974200,6691382035747800,7605299586949800,6602452203289800,10009922175336800,3917210554235600,5479944264270600,5674354295630800
46,10263984184195400,6691933935295800,7605299586949800,6602452203289800,10009922175336800,3643412754064600,5479944264270600,5674354295630800
47,10240784486518400,6665978963896200,7603786407671200,6602452203289800,10006917896532800,3643412754064600,5478133072406000,5669247705049400
48,10240784486518400,6665978963896200,7603786407671200,6082921219887200,10002666931811600,3643412754064600,5478133072406000,5616112840289000
49,10240784486518400,6663873250806200,7578739198849200,6082921219887200,10002666931811600,3643412754064600,5478133072406000,5616112840289000
50,10240784486518400,6663873250806200,7553712003026600,6081463156421200,9981140708067600,3643412754064600,5478133072406000,5616112840289000
51,10240784486518400,6663873250806200,7553712003026600,6075718923777600,9979026907943200,3642018589394600,5478133072406000,5594050525975600
52,10093928671923000,6663873250806200,7553712003026600,6075718923777600,9707811652329600,3642018589394600,5495362637675800,5137397991694800
53,10093928671923000,6173184074268000,7533769023102400,6075718923777600,9703009854227200,3640741792763600,5248225918411400,5136518834605600
54,10093928671923000,5975867760570000,7533769023102400,6075718923777600,9667127580061200,3639659858467800,5248225918411400,5132938317184600
55,10093928671923000,5975867760570000,7290048618600000,6075718923777600,9665315786035600,3407236261271000,5221025475260800,5132938317184600
56,10066606620056000,5958286864880000,7290048618600000,6075718923777600,9637075958558600,3406124898495600,5221025475260800,5105148510678800
57,10066606620056000,5958286864880000,7289379677896000,5824401822117600,9633634547840200,3381898771381400,5210801523514800,5104599418497000
58,9159683121368200,5958286864880000,7289379677896000,5824401822117600,9633634547840200,3356928540716200,5210801523514800,5100189544617000
59,9159683121368200,5909352040393000,7289379677896000,5799981861540200,9633194963526200,3356928540716200,5206395714057600,5100189544617000
60,9159683121368200,5909352040393000,7289379677896000,5799981861540200,9633194963526200,3336100654955800,5200943069847400,5097645224740800
61,9159683121368200,5906161059623800,7289379677896000,5799981861540200,9408033507950200,3336100654955800,5198848509333400,5097645224740800
62,6658235799740600,5906161059623800,7289379677896000,5799981861540200,9408033507950200,3336100654955800,5198848509333400,5097645224740800
63,6405988229933400,5905531953248400,7289379677896000,5799981861540200,9402425064914200,3108732679347800,5198848509333400,4823707710459800
64,6405988229933400,5905531953248400,7291270398114800,5773967754670000,9402425064914200,3061751632380400,5174413064906400,4823707710459800
65,6405988229933400,5651368504724600,7034627603459400,5773967754670000,9402425064914200,3057602231184600,5174413064906400,4818546033521800
