Generation Number,Lineage 0 (Wx - fitness points),Lineage 1 (Wx - fitness points),Lineage 2 (Wx - fitness points),Lineage 3 (Wx - fitness points),Lineage 4 (Wx - fitness points),Lineage 5 (Wx - fitness points),Lineage 6 (Wx - fitness points),Lineage 7 (Wx - fitness points)
1,11111127445948611640000000,11111118111135883800000000,17777938413410000000,4778051180970000000,11111127333373343830000000,1244444573666952630780000000,68666820285230000000,11111140777940914470000000
2,11111127445948611640000000,11111118000024757120000000,17777938289110000000,4778051058500000000,11111127333373343510000000,1244444573666951382740000000,68666820284240000000,11111140777940913440000000
4,11111127445948609460000000,11111118000023522040000000,17777938153060000000,4778051058500000000,11111127333373331390000000,1244444573666951235430000000,68666820272030000000,11111140777940911420000000
8,11111127445948609460000000,11111118000023394940000000,17777938149900000000,4778051044670000000,11111127333373316050000000,1244444573666951077800000000,68666820100940000000,11111140777939664080000000
16,11111127445825036870000000,11111118000022143130000000,17777936910680000000,4778050774660000000,16222259715540000000,1244444573666951074240000000,68555708973530000000,11111140666828524300000000
32,11111127445824646790000000,11111118000019601650000000,17666825624570000000,4778049378230000000,16222259525050000000,1244444573666813876830000000,57444597767740000000,11111140666817110590000000
64,11111127334589871960000000,11111116666682391690000000,16444591004080000000,4777912027600000000,4000034492360000000,1244444573666811033070000000,45222361412470000000,11111140666815494500000000
128,11111126001254579680000000,11111116666678263420000000,15333477121300000000,4777909137510000000,2666698193720000000,1244444572444585955950000000,42666680319940000000,11111140555578293250000000
256,11111125666672015520000000,11111115444451569120000000,14111128454870000000,2444571933510000000,2666670075600000000,1244444570111237950500000000,19111118723910000000,11111127111114344240000000
512,11111111888891729390000000,11111114000001026070000000,12666669300130000000,1888891276880000000,888890006380000000,1233333458777903587140000000,5666669182240000000,11111125555556922990000000
1024,444445080350000000,111111754510000000,222222649620000000,1666667276110000000,444444918230000000,11111111666667146530000000,555556330960000000,11111111777778315540000000
